Title,Price,Ad URL,Local Folder
"3-к. квартира, 120 м², 1/5 эт.",31 900 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_120_m_15_et._2375041344,"dataset_images/3-к. квартира, 120 м², 1-5 эт."
"2-к. квартира, 44,5 м², 2/9 эт.",6 300 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_445_m_29_et._3773195891,"dataset_images/2-к. квартира, 44,5 м², 2-9 эт."
"1-к. квартира, 34,8 м², 3/5 эт.",4 200 000 ₽,https://www.avito.ru/novoe_devyatkino/kvartiry/1-k._kvartira_348_m_35_et._4193700442,"dataset_images/1-к. квартира, 34,8 м², 3-5 эт."
"Квартира-студия, 30,6 м², 2/4 эт.",8 270 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_306_m_24_et._3878239138,"dataset_images/Квартира-студия, 30,6 м², 2-4 эт."
"2-к. квартира, 68,4 м², 3/5 эт.",5 999 999 ₽,https://www.avito.ru/krasnyy_bor/kvartiry/2-k._kvartira_684_m_35_et._3727367602,"dataset_images/2-к. квартира, 68,4 м², 3-5 эт."
"3-к. квартира, 61 м², 5/12 эт.",10 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_61_m_512_et._3758863224,"dataset_images/3-к. квартира, 61 м², 5-12 эт."
"1-к. квартира, 35,3 м², 1/14 эт.",5 750 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_353_m_114_et._3595640518,"dataset_images/1-к. квартира, 35,3 м², 1-14 эт."
"1-к. квартира, 36 м², 4/12 эт.",6 600 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_36_m_412_et._3896334793,"dataset_images/1-к. квартира, 36 м², 4-12 эт."
"3-к. квартира, 59 м², 6/9 эт.",9 950 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_59_m_69_et._3684098559,"dataset_images/3-к. квартира, 59 м², 6-9 эт."
"1-к. квартира, 44,9 м², 12/14 эт.",7 600 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_449_m_1214_et._3431487863,"dataset_images/1-к. квартира, 44,9 м², 12-14 эт."
"Квартира-студия, 21,3 м², 2/5 эт.",6 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_213_m_25_et._3669661797,"dataset_images/Квартира-студия, 21,3 м², 2-5 эт."
"1-к. квартира, 34,7 м², 5/18 эт.",7 340 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_347_m_518_et._3421694451,"dataset_images/1-к. квартира, 34,7 м², 5-18 эт."
"1-к. квартира, 38,9 м², 4/12 эт.",7 800 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_389_m_412_et._3881753923,"dataset_images/1-к. квартира, 38,9 м², 4-12 эт."
"Квартира-студия, 22 м², 4/4 эт.",4 300 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_22_m_44_et._3609738680,"dataset_images/Квартира-студия, 22 м², 4-4 эт."
"1-к. квартира, 34,5 м², 12/18 эт.",8 780 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_345_m_1218_et._3708539417,"dataset_images/1-к. квартира, 34,5 м², 12-18 эт."
"Квартира-студия, 21 м², 2/5 эт.",6 050 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_21_m_25_et._3824335991,"dataset_images/Квартира-студия, 21 м², 2-5 эт."
"1-к. квартира, 31,8 м², 20/27 эт.",5 350 000 ₽,https://www.avito.ru/murino/kvartiry/1-k._kvartira_318_m_2027_et._3864472859,"dataset_images/1-к. квартира, 31,8 м², 20-27 эт."
"Квартира-студия, 26,8 м², 3/27 эт.",4 950 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_268_m_327_et._3007830886,"dataset_images/Квартира-студия, 26,8 м², 3-27 эт."
"3-к. квартира, 72 м², 4/12 эт.",9 200 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_72_m_412_et._3592566184,"dataset_images/3-к. квартира, 72 м², 4-12 эт."
"1-к. квартира, 33,6 м², 6/24 эт.",9 490 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_336_m_624_et._3735361813,"dataset_images/1-к. квартира, 33,6 м², 6-24 эт."
"Квартира-студия, 26 м², 2/5 эт.",4 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_26_m_25_et._3689051607,"dataset_images/Квартира-студия, 26 м², 2-5 эт."
"2-к. квартира, 55,1 м², 9/12 эт.",8 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_551_m_912_et._3740484145,"dataset_images/2-к. квартира, 55,1 м², 9-12 эт."
"1-к. квартира, 36,2 м², 5/12 эт.",9 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_362_m_512_et._3884583997,"dataset_images/1-к. квартира, 36,2 м², 5-12 эт."
"Квартира-студия, 19,9 м², 2/5 эт.",5 500 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_199_m_25_et._3761419768,"dataset_images/Квартира-студия, 19,9 м², 2-5 эт."
"1-к. квартира, 32 м², 3/5 эт.",5 800 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32_m_35_et._3696021620,"dataset_images/1-к. квартира, 32 м², 3-5 эт."
"1-к. квартира, 32,4 м², 2/12 эт.",5 500 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_324_m_212_et._3749139955,"dataset_images/1-к. квартира, 32,4 м², 2-12 эт."
"4-к. квартира, 75 м², 3/14 эт.",12 750 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_75_m_314_et._3527189606,"dataset_images/4-к. квартира, 75 м², 3-14 эт."
"Квартира-студия, 19,8 м², 1/4 эт.",5 250 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_198_m_14_et._3190197920,"dataset_images/Квартира-студия, 19,8 м², 1-4 эт."
"3-к. квартира, 63,3 м², 3/5 эт.",14 550 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_633_m_35_et._3669806448,"dataset_images/3-к. квартира, 63,3 м², 3-5 эт."
